id,created_at,price,area,street,ward,district,post_date,num_bedroom,num_diningroom,num_kitchen,num_toilet,num_floor,current_floor,direction,street_width
106,2024-05-12T07:15:10.783946+00:00,6.85,45,Lạc Long Quân,Bưởi,Tây Hồ,2024-01-21 00:00:00,0,0,0,0,0,0,0,0
107,2024-05-12T07:15:16.505287+00:00,4.5,18,Láng,Thịnh Quang,Đống Đa,2024-01-27 00:00:00,1,0,1,1,0,0,0,0
108,2024-05-12T07:15:21.688937+00:00,3.5,20,Trần Phú,Mộ Lao,Hà Đông,2024-01-31 00:00:00,0,0,0,0,0,0,0,0
109,2024-05-12T07:15:26.753995+00:00,3.8,25,Liên Xá,Tân Triều,Thanh Trì,2024-01-31 00:00:00,0,0,0,0,0,0,0,0
110,2024-05-12T07:15:31.866427+00:00,3.8,25,Bà Triệu,Nguyễn Trãi,Hà Đông,2024-02-03 00:00:00,0,0,0,20,7,0,0,0
111,2024-05-12T07:15:37.506695+00:00,3.0,15,Phùng Hưng,Phúc La,Hà Đông,2024-02-03 00:00:00,0,0,1,6,6,0,0,0
112,2024-05-12T07:15:42.902971+00:00,3.75,25,Liên Xá,Tân Triều,Thanh Trì,2024-02-03 00:00:00,0,0,1,6,8,0,0,0
113,2024-05-12T07:15:47.528684+00:00,4.2,25,Liên Xá,Tân Triều,Thanh Trì,2024-02-03 00:00:00,0,0,0,3,8,0,0,0
114,2024-05-12T07:15:53.276257+00:00,4.0,30,Ngô Quyền,La Khê,Hà Đông,2024-02-03 00:00:00,0,0,0,2,5,0,0,0
115,2024-05-12T07:15:58.674509+00:00,4.0,20,Nguyễn Trãi,Yên Nghĩa,Hà Đông,2024-02-03 00:00:00,0,0,0,2,6,0,0,0
116,2024-05-12T07:16:04.168911+00:00,3.7,20,Yên Nội,Dương Nội,Hà Đông,2024-02-03 00:00:00,0,0,0,2,5,0,0,0
117,2024-05-12T07:16:08.941338+00:00,3.6,22,Phan Trọng Tuệ,Xã Tả Thanh Oai,Thanh Trì,2024-01-12 00:00:00,0,0,1,0,0,0,0,0
118,2024-05-12T07:16:14.649807+00:00,3.8,25,Phan Trọng Tuệ,Thanh Liệt,Thanh Trì,2024-01-13 00:00:00,0,1,1,0,0,0,0,0
119,2024-05-12T07:16:19.877637+00:00,5.3,40,Đình Thôn,Mỹ Đình 2,Nam Từ Liêm,2024-01-17 00:00:00,1,0,1,1,0,0,0,0
120,2024-05-12T07:16:23.873074+00:00,3.8,24,Thanh Liệt,Thanh Liệt,Thanh Trì,2024-01-14 00:00:00,0,0,1,0,0,0,0,0
121,2024-05-12T07:16:29.321511+00:00,5.35,30,Trần Bình,Mai Dịch,Cầu Giấy,2024-01-13 00:00:00,0,0,0,0,0,0,0,0
122,2024-05-12T07:16:35.031262+00:00,3.8,25,Yên Nghĩa,Yên Nghĩa,Hà Đông,2024-01-16 00:00:00,0,0,1,1,0,0,0,0
123,2024-05-12T07:16:40.787628+00:00,4.7,29,Hồ Tùng Mậu,Mai Dịch,Cầu Giấy,2024-01-17 00:00:00,1,0,1,1,0,0,0,0
124,2024-05-12T07:16:45.170447+00:00,5.0,40,Đại Lộ Thăng Long,Mễ Trì,Nam Từ Liêm,2024-01-17 00:00:00,0,0,1,0,0,0,0,0
125,2024-05-12T07:16:50.535507+00:00,5.9,36,Mai Dịch,Mai Dịch,Cầu Giấy,2024-01-17 00:00:00,1,0,1,0,0,0,0,0
126,2024-05-12T07:16:55.231863+00:00,6.0,45,Đại Lộ Thăng Long,Mễ Trì,Nam Từ Liêm,2024-01-17 00:00:00,0,0,0,0,0,0,0,0
127,2024-05-12T07:17:00.404776+00:00,5.9,42,Mỹ Đình,Mỹ Đình 2,Nam Từ Liêm,2024-01-17 00:00:00,1,0,1,1,0,0,0,0
128,2024-05-12T07:17:05.471284+00:00,7.0,45,Nguyễn Khang,Quan Hoa,Cầu Giấy,2024-01-17 00:00:00,0,0,0,0,0,0,0,0
129,2024-05-12T07:17:11.056571+00:00,4.0,22,Trần Thái Tông,Dịch Vọng Hậu,Cầu Giấy,2024-01-17 00:00:00,0,0,0,0,0,0,0,0
130,2024-05-12T07:17:16.469607+00:00,1.1,11,Trần Thái Tông,Dịch Vọng Hậu,Cầu Giấy,2024-01-17 00:00:00,0,0,0,0,0,0,0,0
131,2024-05-12T07:17:21.908088+00:00,3.8,20,Thanh Bình,Mộ Lao,Hà Đông,2024-02-03 00:00:00,0,0,0,4,7,0,0,0
132,2024-05-12T07:17:27.073503+00:00,1.5,3,Trường Chinh,Khương Thượng,Đống Đa,2024-02-27 00:00:00,0,0,0,0,0,0,0,0
133,2024-05-12T07:17:31.992973+00:00,1.5,3,Trường Chinh,Khương Thượng,Đống Đa,2024-02-27 00:00:00,0,0,0,0,0,0,0,0
134,2024-05-12T07:17:37.868019+00:00,3.4,20,Nguyễn Văn Trỗi,Mộ Lao,Hà Đông,2024-02-03 00:00:00,0,0,0,4,7,0,0,0
135,2024-05-12T07:17:42.913522+00:00,4.2,25,Phan Trọng Tuệ,Xã Tả Thanh Oai,Thanh Trì,2024-02-03 00:00:00,0,0,0,3,8,0,0,0
136,2024-05-12T07:17:48.009705+00:00,3.0,20,Hồng Liên,Tứ Liên,Tây Hồ,2024-02-27 00:00:00,0,0,1,1,0,0,0,0
137,2024-05-12T07:17:52.820086+00:00,4.2,25,An Dương Vương,Phú Thượng,Tây Hồ,2024-03-29 00:00:00,0,0,1,0,0,0,0,0
138,2024-05-12T07:17:58.45437+00:00,4.5,25,Dã Tượng,Trần Hưng Đạo,Hoàn Kiếm,2024-03-25 00:00:00,3,0,0,3,0,0,0,0
139,2024-05-12T07:18:03.803019+00:00,3.4,30,Quang Tiến,Đại Mỗ,Nam Từ Liêm,2024-03-23 00:00:00,0,0,0,1,0,0,0,0
140,2024-05-12T07:18:09.560757+00:00,5.3,35,Tân Mỹ,Mỹ Đình 2,Nam Từ Liêm,2024-03-29 00:00:00,0,1,1,0,0,0,0,0
141,2024-05-12T07:18:14.640628+00:00,5.5,30,Trần Thái Tông,Dịch Vọng Hậu,Cầu Giấy,2024-03-29 00:00:00,0,1,1,0,0,0,0,0
142,2024-05-12T07:18:20.561838+00:00,4.5,25,Trần Cung,Nghĩa Tân,Cầu Giấy,2024-03-20 00:00:00,0,0,0,1,0,0,0,0
