id,created_at,price,area,street,ward,district,post_date,num_bedroom,num_diningroom,num_kitchen,num_toilet,num_floor,current_floor,direction,street_width,price_zscore,area_zscore
105,2024-05-12T07:15:05.748317+00:00,3.7,30,Yên Phụ,Phú Thượng,Tây Hồ,2024-01-17 00:00:00,0,0,0,0,0,0,0,0,0.06208589481559221,0.15485999467346875
107,2024-05-12T07:15:16.505287+00:00,4.5,18,Láng,Thịnh Quang,Đống Đa,2024-01-27 00:00:00,1,0,1,1,0,0,0,0,0.14096783894174728,-0.47890308416637795
108,2024-05-12T07:15:21.688937+00:00,3.5,20,Trần Phú,Mộ Lao,Hà Đông,2024-01-31 00:00:00,0,0,0,0,0,0,0,0,0.04236540878405342,-0.37327590435973684
109,2024-05-12T07:15:26.753995+00:00,3.8,25,Liên Xá,Tân Triều,Thanh Trì,2024-01-31 00:00:00,0,0,0,0,0,0,0,0,0.07194613783136156,-0.10920795484313404
110,2024-05-12T07:15:31.866427+00:00,3.8,25,Bà Triệu,Nguyễn Trãi,Hà Đông,2024-02-03 00:00:00,0,0,0,20,7,0,0,0,0.07194613783136156,-0.10920795484313404
111,2024-05-12T07:15:37.506695+00:00,3.0,15,Phùng Hưng,Phúc La,Hà Đông,2024-02-03 00:00:00,0,0,1,6,6,0,0,0,-0.006935806294793509,-0.6373438538763396
112,2024-05-12T07:15:42.902971+00:00,3.75,25,Liên Xá,Tân Triều,Thanh Trì,2024-02-03 00:00:00,0,0,1,6,8,0,0,0,0.06701601632347688,-0.10920795484313404
113,2024-05-12T07:15:47.528684+00:00,4.2,25,Liên Xá,Tân Triều,Thanh Trì,2024-02-03 00:00:00,0,0,0,3,8,0,0,0,0.11138710989443913,-0.10920795484313404
114,2024-05-12T07:15:53.276257+00:00,4.0,30,Ngô Quyền,La Khê,Hà Đông,2024-02-03 00:00:00,0,0,0,2,5,0,0,0,0.09166662386290035,0.15485999467346875
115,2024-05-12T07:15:58.674509+00:00,4.0,20,Nguyễn Trãi,Yên Nghĩa,Hà Đông,2024-02-03 00:00:00,0,0,0,2,6,0,0,0,0.09166662386290035,-0.37327590435973684
116,2024-05-12T07:16:04.168911+00:00,3.7,20,Yên Nội,Dương Nội,Hà Đông,2024-02-03 00:00:00,0,0,0,2,5,0,0,0,0.06208589481559221,-0.37327590435973684
117,2024-05-12T07:16:08.941338+00:00,3.6,22,Phan Trọng Tuệ,Xã Tả Thanh Oai,Thanh Trì,2024-01-12 00:00:00,0,0,1,0,0,0,0,0,0.05222565179982281,-0.26764872455309574
118,2024-05-12T07:16:14.649807+00:00,3.8,25,Phan Trọng Tuệ,Thanh Liệt,Thanh Trì,2024-01-13 00:00:00,0,1,1,0,0,0,0,0,0.07194613783136156,-0.10920795484313404
119,2024-05-12T07:16:19.877637+00:00,5.3,40,Đình Thôn,Mỹ Đình 2,Nam Từ Liêm,2024-01-17 00:00:00,1,0,1,1,0,0,0,0,0.21984978306790234,0.6829958937066744
120,2024-05-12T07:16:23.873074+00:00,3.8,24,Thanh Liệt,Thanh Liệt,Thanh Trì,2024-01-14 00:00:00,0,0,1,0,0,0,0,0,0.07194613783136156,-0.1620215447464546
121,2024-05-12T07:16:29.321511+00:00,5.35,30,Trần Bình,Mai Dịch,Cầu Giấy,2024-01-13 00:00:00,0,0,0,0,0,0,0,0,0.224779904575787,0.15485999467346875
122,2024-05-12T07:16:35.031262+00:00,3.8,25,Yên Nghĩa,Yên Nghĩa,Hà Đông,2024-01-16 00:00:00,0,0,1,1,0,0,0,0,0.07194613783136156,-0.10920795484313404
123,2024-05-12T07:16:40.787628+00:00,4.7,29,Hồ Tùng Mậu,Mai Dịch,Cầu Giấy,2024-01-17 00:00:00,1,0,1,1,0,0,0,0,0.16068832497328606,0.1020464047701482
124,2024-05-12T07:16:45.170447+00:00,5.0,40,Đại Lộ Thăng Long,Mễ Trì,Nam Từ Liêm,2024-01-17 00:00:00,0,0,1,0,0,0,0,0,0.1902690540205942,0.6829958937066744
125,2024-05-12T07:16:50.535507+00:00,5.9,36,Mai Dịch,Mai Dịch,Cầu Giấy,2024-01-17 00:00:00,1,0,1,0,0,0,0,0,0.2790112411625187,0.47174153409339215
126,2024-05-12T07:16:55.231863+00:00,6.0,45,Đại Lộ Thăng Long,Mễ Trì,Nam Từ Liêm,2024-01-17 00:00:00,0,0,0,0,0,0,0,0,0.28887148417828806,0.9470638432232772
127,2024-05-12T07:17:00.404776+00:00,5.9,42,Mỹ Đình,Mỹ Đình 2,Nam Từ Liêm,2024-01-17 00:00:00,1,0,1,1,0,0,0,0,0.2790112411625187,0.7886230735133155
129,2024-05-12T07:17:11.056571+00:00,4.0,22,Trần Thái Tông,Dịch Vọng Hậu,Cầu Giấy,2024-01-17 00:00:00,0,0,0,0,0,0,0,0,0.09166662386290035,-0.26764872455309574
130,2024-05-12T07:17:16.469607+00:00,1.1,11,Trần Thái Tông,Dịch Vọng Hậu,Cầu Giấy,2024-01-17 00:00:00,0,0,0,0,0,0,0,0,-0.19428042359441183,-0.8485982134896219
131,2024-05-12T07:17:21.908088+00:00,3.8,20,Thanh Bình,Mộ Lao,Hà Đông,2024-02-03 00:00:00,0,0,0,4,7,0,0,0,0.07194613783136156,-0.37327590435973684
132,2024-05-12T07:17:27.073503+00:00,1.5,3,Trường Chinh,Khương Thượng,Đống Đa,2024-02-27 00:00:00,0,0,0,0,0,0,0,0,-0.1548394515313343,-1.2711069327161864
133,2024-05-12T07:17:31.992973+00:00,1.5,3,Trường Chinh,Khương Thượng,Đống Đa,2024-02-27 00:00:00,0,0,0,0,0,0,0,0,-0.1548394515313343,-1.2711069327161864
134,2024-05-12T07:17:37.868019+00:00,3.4,20,Nguyễn Văn Trỗi,Mộ Lao,Hà Đông,2024-02-03 00:00:00,0,0,0,4,7,0,0,0,0.03250516576828402,-0.37327590435973684
